     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      3072,         6,         0,   0.092,correlated_pymatching,d6d47ec6005a6c9356062fc36f463fff9d4cb23f867b6fa37d33c54c60b1e2b6,"{""d"":3,""p"":0.00046415888336127773,""r"":3}","{""obs_mistake_mask=E"":6}"
         1,         0,         0,   0.149,correlated_pymatching,d4c5a9c4afde1933f4d2e49b8aebd66a7bd259e8ceb8eb5c2b795fdbb4f0b922,"{""d"":5,""p"":0.021544346900318822,""r"":5}",
         1,         1,         0,   0.150,correlated_pymatching,60d7f2d0fb63fe77ced15ef5f4b50a4846dbd6449cd6e8947dc40955f7542911,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.154,correlated_pymatching,7a31e005cd80dc03cceb76df4f09da60689bbc6602c35f5fe1779a97a2b94988,"{""d"":5,""p"":0.1,""r"":5}",
      1024,        40,         0,   0.065,correlated_pymatching,7ac6aedeac4f664cb0bc4ec158b6b8b5daaa6d224d05d7fb35fc6196123961bd,"{""d"":3,""p"":0.002154434690031882,""r"":3}","{""obs_mistake_mask=E"":40}"
         1,         1,         0,   0.142,correlated_pymatching,be23bf8a451a2fc27dbdf68328f81c1f6d4aafd6a2bb66688d634cf2ed2bb3e0,"{""d"":5,""p"":0.046415888336127774,""r"":5}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.024,correlated_pymatching,fdbcb28c19e2133d077b79d8f98d8d6e90ec7ccb978dbc5b456da0a65597c597,"{""d"":3,""p"":0.0001,""r"":3}",
         1,         0,         0,   0.146,correlated_pymatching,0cd00541abea7d574f93f7fff6e1051d70863721b194aeddefeb45647079bba2,"{""d"":5,""p"":0.004641588833612777,""r"":5}",
      3072,         2,         0,   0.091,correlated_pymatching,e807058b9d0070d0b93b9c7cbef3c37f123d36d965a4b23406bd12bc3208ec2f,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":2}"
         1,         0,         0,   0.144,correlated_pymatching,0d7504514bc847462fb7bf844e1f0e50276024ba162cbd4ed8a518b50493837c,"{""d"":5,""p"":0.00046415888336127773,""r"":5}",
        16,         0,         0,   0.022,correlated_pymatching,fdbcb28c19e2133d077b79d8f98d8d6e90ec7ccb978dbc5b456da0a65597c597,"{""d"":3,""p"":0.0001,""r"":3}",
         1,         1,         0,   0.137,correlated_pymatching,c1790d1b1b63b96fc9dcc6d555291bd38ee414162bfcad11bed1a00141b43a74,"{""d"":5,""p"":0.01,""r"":5}","{""obs_mistake_mask=E"":1}"
      2048,         0,         0,   0.091,correlated_pymatching,fdbcb28c19e2133d077b79d8f98d8d6e90ec7ccb978dbc5b456da0a65597c597,"{""d"":3,""p"":0.0001,""r"":3}",
      1024,       121,         0,   0.070,correlated_pymatching,34dcb8887f4f3ad9726bb6e2b2f40b534237ae30817d6ff7da533e559e9116cf,"{""d"":3,""p"":0.004641588833612777,""r"":3}","{""obs_mistake_mask=E"":121}"
       256,         0,         0,   0.033,correlated_pymatching,fdbcb28c19e2133d077b79d8f98d8d6e90ec7ccb978dbc5b456da0a65597c597,"{""d"":3,""p"":0.0001,""r"":3}",
      1024,        32,         0,   0.068,correlated_pymatching,7ac6aedeac4f664cb0bc4ec158b6b8b5daaa6d224d05d7fb35fc6196123961bd,"{""d"":3,""p"":0.002154434690031882,""r"":3}","{""obs_mistake_mask=E"":32}"
         1,         0,         0,   0.029,correlated_pymatching,e807058b9d0070d0b93b9c7cbef3c37f123d36d965a4b23406bd12bc3208ec2f,"{""d"":3,""p"":0.00021544346900318845,""r"":3}",
         4,         0,         0,   0.116,correlated_pymatching,05299ae3d91a1d23b7a98b4fab9722bced6f7c0322d1c013b5613e9b1333028a,"{""d"":5,""p"":0.0001,""r"":5}",
