     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        10,         0,         0,    1.34,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
      6144,         0,         0,    1.65,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
      7168,         0,         0,    1.76,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
      7168,         0,         0,    1.77,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
      6144,         0,         0,    1.56,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
      6144,         0,         0,    1.57,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
      7168,         0,         0,    1.76,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
      6144,         0,         0,    1.67,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
        20,         0,         0,    1.67,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
      9216,         0,         0,    2.21,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     10240,         0,         0,    2.28,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
      9216,         0,         0,    2.38,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
     10240,         0,         0,    2.32,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     10240,         0,         0,    2.41,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     10240,         0,         0,    2.36,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     53248,         0,         0,    11.8,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
      9216,         0,         0,    2.40,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
     51200,         0,         0,    11.8,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     50176,         0,         0,    11.9,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     48128,         0,         0,    11.8,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
        28,         0,         0,    2.30,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     13312,         0,         0,    3.11,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     13312,         0,         0,    3.08,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     14336,         0,         0,    3.28,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     13312,         0,         0,    3.09,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     12288,         0,         0,    3.25,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
     14336,         0,         0,    3.25,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     12288,         0,         0,    3.20,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
     51200,         0,         0,    11.7,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     51200,         0,         0,    12.0,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     45056,         1,         0,    11.9,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}","{""obs_mistake_mask=E"":1}"
     45056,         2,         0,    11.7,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}","{""obs_mistake_mask=E"":2}"
        36,         0,         0,    3.06,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     18432,         0,         0,    4.33,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     18432,         0,         0,    4.46,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     18432,         0,         0,    4.32,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     18432,         0,         0,    4.28,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     18432,         0,         0,    4.29,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     17408,         0,         0,    4.51,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
     16384,         0,         0,    4.31,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
    135713,         0,         0,    30.9,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
    116736,         0,         0,    25.5,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
    125952,         0,         0,    29.2,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
        52,         0,         0,    4.42,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     98976,         0,         0,    23.1,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     74752,         0,         0,    16.4,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     26624,         0,         0,    6.01,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
     25600,         0,         0,    6.07,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     26624,         0,         0,    6.19,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     25600,         0,         0,    6.17,correlated_pymatching,1af5a8d16dfe6abd574790e66dfc9331cc1a7511d9442ded56a0edf86c82b0da,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
     23552,         0,         0,    6.00,correlated_pymatching,526a9c53121d2590a78619e118eac90c4306ffdf6462386d67efd6891e283792,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
     26624,         0,         0,    6.11,correlated_pymatching,38d00c745a2d4a3a17c6dbc1bbe5617fb3b5e2aa1d862e832a2558b8e0215781,"{""d"":7,""p"":0.0001,""r"":7}",
