     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       381,         0,         0,   121.2,tesseract,958723e6f1bc9787717280dcad683beba6478aa16e15261bd0507e3639f63edb,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.00021544346900318845,""rounds"":7}",
         1,         1,         0,   326.5,tesseract,44966107d705ceadfead033d3631bcf85167f25dfd343b020847cc0afc3e8ebc,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.01,""rounds"":5}","{""obs_mistake_mask=E"":1}"
        40,         0,         0,   121.5,tesseract,d3117be854bf240ea6a5781a62d2267e6b5ed0bf9bb175cd55212fb29dbec5f8,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.001,""rounds"":7}",
        39,         0,         0,   121.5,tesseract,d3117be854bf240ea6a5781a62d2267e6b5ed0bf9bb175cd55212fb29dbec5f8,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.001,""rounds"":7}",
      1468,         0,         0,   120.9,tesseract,7fc61f0d88b6cb021976410edcc3feb7fa0e39b2e0b557a8cafdcb187173a9fa,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.00021544346900318845,""rounds"":5}",
         1,         1,         0,   388.4,tesseract,c43b80ffe2530472168d9b4311ca8656dddb642e7ec1be2a6aaf2fb10622db73,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.021544346900318822,""rounds"":5}","{""obs_mistake_mask=E"":1}"
       158,         0,         0,   120.2,tesseract,3f169a7085417b4bff7e9033ab5afe672a85950e8573abfdd2246f104a777cd9,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.00046415888336127773,""rounds"":7}",
      1508,         0,         0,   120.6,tesseract,7fc61f0d88b6cb021976410edcc3feb7fa0e39b2e0b557a8cafdcb187173a9fa,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.00021544346900318845,""rounds"":5}",
       836,         0,         0,   123.8,tesseract,59dd5f1ee60bd39fcb8fa5db9d6e6037b999a81ebda410185f448266f7ddf47d,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.0001,""rounds"":7}",
      1540,         0,         0,   120.2,tesseract,7fc61f0d88b6cb021976410edcc3feb7fa0e39b2e0b557a8cafdcb187173a9fa,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.00021544346900318845,""rounds"":5}",
         1,         0,         0,   599.4,tesseract,74a9abb5878cc4ed56ba69827e0951c26ed1f553f3ee5f4aa9d00a828ac047de,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.021544346900318822,""rounds"":7}",
         2,         0,         0,   151.8,tesseract,dcf13805cb2ae0881c14ffc46aa664281c773cdf08b5a79cd57e7fdd55e40b0c,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.002154434690031882,""rounds"":7}",
         1,         0,         0,   451.6,tesseract,2191346bb8a78dd6fbec3313d95ae8b431b4638e837885b7924812af4f0ebd89,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.046415888336127774,""rounds"":7}",
       356,         0,         0,   120.0,tesseract,958723e6f1bc9787717280dcad683beba6478aa16e15261bd0507e3639f63edb,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.00021544346900318845,""rounds"":7}",
       154,         0,         0,   120.5,tesseract,3f169a7085417b4bff7e9033ab5afe672a85950e8573abfdd2246f104a777cd9,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.00046415888336127773,""rounds"":7}",
       800,         0,         0,   120.4,tesseract,59dd5f1ee60bd39fcb8fa5db9d6e6037b999a81ebda410185f448266f7ddf47d,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.0001,""rounds"":7}",
