     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         8,         0,         0,   0.791,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         2,         0,         0,   0.804,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         4,         0,         0,   0.635,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         1,         0,         0,    8.85,tesseract,2de9849db804466cfc2c24632fd28c4019a8930827283eb93cc8b1288f7caba5,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001668100537200059,""rounds"":5}",
         4,         0,         0,   0.745,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         4,         0,         0,   0.794,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
        24,         2,         0,    2.24,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}","{""obs_mistake_mask=E_"":2}"
         6,         0,         0,    2.48,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         1,         0,         0,    3.52,tesseract,2de9849db804466cfc2c24632fd28c4019a8930827283eb93cc8b1288f7caba5,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001668100537200059,""rounds"":5}",
         1,         0,         0,    5.64,tesseract,6086e3504dbd6a3144d6dd02e3530001521b8864093c233bc936e048a7175cae,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         4,         1,         0,    1.84,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}","{""obs_mistake_mask=_E"":1}"
         1,         0,         0,   0.777,tesseract,6086e3504dbd6a3144d6dd02e3530001521b8864093c233bc936e048a7175cae,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
        16,         1,         0,    2.08,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}","{""obs_mistake_mask=_E"":1}"
         1,         0,         0,   0.618,tesseract,6086e3504dbd6a3144d6dd02e3530001521b8864093c233bc936e048a7175cae,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         6,         1,         0,    1.84,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}","{""obs_mistake_mask=_E"":1}"
         1,         0,         0,    1.45,tesseract,6086e3504dbd6a3144d6dd02e3530001521b8864093c233bc936e048a7175cae,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         1,         0,         0,    4.47,tesseract,f8cf9e2e229992280709cfa1ab5fd34e6230e4cf55cf71ae5f299061a27a0497,"{""code"":""color_code"",""code_idx"":2,""d"":7,""p"":0.001,""rounds"":7}",
        32,         1,         0,    3.35,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}","{""obs_mistake_mask=EE"":1}"
         1,         0,         0,    1.75,tesseract,6086e3504dbd6a3144d6dd02e3530001521b8864093c233bc936e048a7175cae,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         8,         0,         0,    2.62,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         1,         0,         0,    1.57,tesseract,6086e3504dbd6a3144d6dd02e3530001521b8864093c233bc936e048a7175cae,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         1,         0,         0,    20.3,tesseract,5ecffd13a964f9ea2f4e7d122ae78e45c320494313a08380125dbbc338709c51,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.004641588833612777,""rounds"":3}",
         1,         0,         0,   0.857,tesseract,6086e3504dbd6a3144d6dd02e3530001521b8864093c233bc936e048a7175cae,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         1,         0,         0,    7.54,tesseract,2de9849db804466cfc2c24632fd28c4019a8930827283eb93cc8b1288f7caba5,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001668100537200059,""rounds"":5}",
         1,         0,         0,   0.604,tesseract,6086e3504dbd6a3144d6dd02e3530001521b8864093c233bc936e048a7175cae,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
